NAME,NICKNAME,DIVISION,GENRE,WIN,LOSSES,DRAWS,Actif,ÂGE,LA TAILLE,POIDS,DÉBUT DE L'OCTOGONE,Title_holder,PERMANENT,CLINCH,SOL,KO/TKO,DEC,SUB,sig_str_head,sig_str_body,sig_str_leg,PRÉCISION SAISISSANTE,PRÉCISION DE TAKEDOWN,SIG. STR. A ATTERRI,SIG. FRAPPES ENCAISSÉES,TAKEDOWN AVG,ENVOI AVG,SIG. STR.DÉFENSE,DÉFENSE DE DÉMOLITION,KNOCKDOWN AVG,TEMPS DE COMBAT MOYEN,img_cbt,STYLE DE COMBAT,REACH,PORTÉE DE LA JAMBE,Style de combat,DOB
TYSON NAM,,Flyweight Division,Male,21.0,14.0,1.0,False,39.0,67.0,126.0,"DEC. 20, 2024",False,266.0,9.0,17.0,13.0,7.0,1.0,167.0,60.0,65.0,0.34,0.0,3.87,4.97,0.0,0.0,0.65,0.88,0.6,566.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-07/NAM_TYSON_L_07-15.png?itok=ZtISSJO0,FREESTYLE,68.0,37.0,Orthodox,"Oct 06, 1983"
ROSE NAMAJUNAS,"""THUG""",Women's Flyweight Division,Female,14.0,7.0,0.0,True,32.0,65.0,125.0,"DEC. 12, 2014",False,822.0,70.0,97.0,2.0,6.0,6.0,711.0,189.0,89.0,0.42,0.51,3.71,3.48,1.46,0.4,0.64,0.61,0.28,941.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/NAMAJUNAS_ROSE_L_07-13.png?itok=fEY7XpDC,MMA,65.0,39.5,Orthodox,"Jun 29, 1992"
NAD NARIMANI,"""SMILER""",Featherweight Division,Male,12.0,4.0,0.0,False,36.0,68.0,150.0,"MAR. 17, 2018",False,119.0,19.0,44.0,2.0,5.0,5.0,133.0,27.0,22.0,0.43,0.41,3.33,3.0,1.92,0.0,0.59,0.7,0.0,821.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2020-07/NARIMANI_NAD_L_07-22.png?VersionId=gd0XYUxAOr7O4vi1fHEwRB297_vs.VaE&itok=ouc3VHFW,,70.0,40.5,Orthodox,"Apr 14, 1987"
ROGER NARVAEZ,"""SILVERBACK""",Middleweight Division,Male,8.0,3.0,0.0,False,39.0,75.0,186.0,"JUN. 7, 2014",False,55.0,3.0,9.0,3.0,2.0,2.0,42.0,16.0,9.0,0.37,0.0,2.12,3.32,0.0,0.95,0.65,0.5,0.47,632.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/ef5590d7-5034-47bb-8525-016e7dbb1eb3%252FRoger-Narvaez_486262_LeftFullBodyImage.png?itok=XBjKo15q,,79.0,,Southpaw,"Sep 09, 1983"
ALLAN NASCIMENTO,"""PURO OSSO""",Flyweight Division,Male,20.0,6.0,0.0,True,32.0,68.5,125.0,"OCT. 30, 2021",False,114.0,12.0,29.0,2.0,4.0,14.0,101.0,22.0,32.0,0.61,0.26,3.21,2.28,1.55,0.93,0.5,0.17,0.0,724.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-01/NASCIMENTO_ALLAN_L_01-14.png?itok=tp6_5hmh,STRIKER,69.5,37.5,Orthodox,"Sep 11, 1991"
RODRIGO NASCIMENTO,"""ZE' COLMEIA""",Heavyweight Division,Male,11.0,3.0,0.0,False,31.0,74.0,264.0,"JUL. 30, 2019",False,261.0,38.0,29.0,2.0,3.0,6.0,236.0,51.0,41.0,0.47,0.38,3.71,4.34,1.02,0.51,0.45,0.61,0.0,589.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/NASCIMENTO_RODRIGO_L_05-11.png?itok=LLy25Mi_,JIU-JITSU,80.0,43.0,Orthodox,"Nov 26, 1992"
BOBBY NASH,"""NASHTY""",Welterweight Division,Male,8.0,4.0,0.0,False,33.0,72.0,170.5,"JAN. 29, 2017",False,45.0,18.0,2.0,4.0,1.0,3.0,40.0,9.0,16.0,0.38,0.33,3.42,3.95,2.37,1.6,0.51,1.0,0.79,380.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/c61d1fce-d089-4848-8a0d-6654e7e8abd8%252Fbobby-nash_616674_LeftFullBodyImage.png?itok=_IM_5b9I,,74.0,42.0,Orthodox,"Mar 26, 1990"
NASRUDIN NASRUDINOV,,Light Heavyweight Division,Male,9.0,1.0,0.0,True,31.0,72.0,206.0,"DEC. 20, 2024",False,4.0,0.0,3.0,0.0,0.0,0.0,6.0,1.0,0.0,0.88,0.5,1.03,0.29,2.2,0.0,0.75,0.4,0.0,409.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-09/71767%252Fprofile-galery%252Ffullbodyright-picture%252FNASRUDINOV_NASRUDIN_R.png?itok=psvJ0dcK,,71.5,41.5,Orthodox,"Oct 06, 1991"
RAFAEL NATAL,"""SAPO""",Middleweight Division,Male,21.0,9.0,1.0,False,40.0,72.0,185.2,"SEP. 15, 2010",False,,,,1.0,7.0,1.0,,,,0.47,0.34,3.1,2.48,2.55,0.5,0.57,0.77,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69034/profile-galery/fullbodyleft-picture/rafael-natal_13184_LeftFullBodyImage.png?VersionId=jpxF0zPgNSsIs_O2PGmAyN4.ENyeefMN&itok=BkvJ-ln4,,77.0,43.0,Orthodox,"Dec 25, 1982"
KEVIN NATIVIDAD,"""QUICKSAND""",Bantamweight Division,Male,9.0,4.0,0.0,False,30.0,66.0,135.5,"OCT. 31, 2020",False,57.0,7.0,13.0,5.0,3.0,1.0,57.0,15.0,5.0,0.34,0.5,2.68,4.29,3.66,0.0,0.48,0.83,0.52,574.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-01/NATIVIDAD_KEVIN_L.png?itok=O3D7HQEd,,70.0,38.0,Orthodox,"Apr 02, 1993"
ISMAIL NAURDIEV,,Middleweight Division,Male,24.0,7.0,0.0,True,28.0,72.0,185.0,"FEB. 23, 2019",False,196.0,28.0,32.0,12.0,6.0,6.0,137.0,62.0,57.0,0.54,0.4,3.41,1.52,1.6,0.2,0.67,0.73,0.0,900.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/NAURDIEV_ISMAIL_L_10-26.png?itok=cAZ2Z_2o,WRESTLING,74.0,40.5,Orthodox,"Aug 18, 1996"
REZA NAZRI,,,Male,0.0,1.0,0.0,False,,71.0,205.0,"SEP. 20, 1996",False,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NO,,,,Orthodox,
TAFON NCHUKWI,"""DA DON""",Middleweight Division,Male,6.0,4.0,0.0,False,28.0,72.0,189.5,"DEC. 19, 2020",False,317.0,110.0,13.0,4.0,2.0,0.0,226.0,145.0,69.0,0.53,0.57,5.57,4.11,0.76,0.0,0.54,0.65,0.38,677.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-05/71605%252Fprofile-galery%252Ffullbodyleft-picture%252FNCHUKWI_TAFON_L_05-08.png?itok=6WLUqRKj,,77.0,41.0,Orthodox,"Oct 14, 1994"
DUSTIN NEACE,"""THE BEAST""",Featherweight Division,Male,25.0,21.0,1.0,False,36.0,69.0,146.0,"DEC. 4, 2011",False,15.0,0.0,3.0,0.0,0.0,0.0,10.0,4.0,4.0,0.33,0.0,2.08,2.66,0.0,1.74,0.57,0.0,0.0,309.0,NO,,69.0,,,"Sep 12, 1986"
GEOFF NEAL,"""HANDZ OF STEEL""",Welterweight Division,Male,16.0,6.0,0.0,True,34.0,71.0,171.0,"FEB. 18, 2018",False,546.0,74.0,52.0,10.0,4.0,2.0,577.0,57.0,38.0,0.51,0.5,5.05,5.44,0.56,0.11,0.57,0.88,1.01,614.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/2/NEAL_GEOFF_L_10-26.png?itok=ArU3ewqF,STRIKER,75.0,41.0,Southpaw,"Aug 28, 1990"
STANISLAV NEDKOV,"""STUCKY""",Light Heavyweight Division,Male,12.0,2.0,0.0,False,41.0,71.0,205.0,"AUG. 27, 2011",False,,,,1.0,0.0,0.0,,,,0.43,0.41,3.33,5.39,2.77,0.0,0.43,0.0,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Stanislav_Nedkov/StanislavNedkov_BlueCornerV2.png?VersionId=kshmk3mWewdyRXaj8q3X5aOe.8CAG_fm&itok=2qeb90CC,,71.0,,Orthodox,"Dec 09, 1981"
JOSH NEER,"""THE DENTIST""",Welterweight Division,Male,36.0,16.0,1.0,False,40.0,71.0,171.0,"AUG. 6, 2005",False,,,,1.0,2.0,3.0,,,,0.46,0.34,3.29,3.63,1.09,1.3,0.58,0.46,,,NO,,72.0,,Orthodox,"Mar 24, 1983"
NICOLAE NEGUMEREANU,,Light Heavyweight Division,Male,13.0,2.0,0.0,True,28.0,72.5,206.0,"MAR. 16, 2019",False,155.0,49.0,6.0,8.0,2.0,3.0,158.0,20.0,32.0,0.41,0.29,3.58,5.56,1.02,0.0,0.39,0.63,0.0,586.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-06/71457%252Fprofile-galery%252Ffullbodyleft-picture%252FNEGUMEREANU_NICOLAE_L_06-19.png?itok=sKxexmCQ,WRESTLER,78.0,40.0,Orthodox,"Sep 04, 1994"
NAIR NELIKYAN,,Lightweight Division,Male,11.0,0.0,0.0,True,26.0,66.0,155.0,"DEC. 20, 2024",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,NO,,,,,"Aug 08, 1997"
STEVE NELMARK,,,Male,2.0,1.0,0.0,False,,72.0,240.0,"MAY. 17, 1996",False,,,,1.0,0.0,1.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NO,,,,Orthodox,
GUNNAR NELSON,"""GUNNI""",Welterweight Division,Male,22.0,14.0,1.0,True,34.0,72.0,263.0,"SEP. 29, 2012",False,146.0,24.0,107.0,8.0,3.0,13.0,212.0,43.0,22.0,0.61,0.59,2.18,4.79,1.9,1.0,0.5,0.67,0.1,602.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-03/NELSON_GUNNAR_L_03-18.png?itok=_usckJU4,GRAPPLER,73.0,39.5,Orthodox,"Jun 20, 1976"
ROY NELSON,"""BIG COUNTRY""",Heavyweight Division,Male,23.0,14.0,0.0,False,46.0,72.0,263.0,"DEC. 5, 2009",False,,,,8.0,1.0,0.0,,,,0.36,0.27,2.18,4.79,1.14,0.1,0.46,0.65,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/edc4dc56-2c21-4213-9ec8-68e2bb2046a4%252FRoy-Nelson_1110_LeftFullBodyImage.png?itok=WeC8abqb,,73.0,44.0,Orthodox,"Jun 20, 1976"
SHANE NELSON,"""SUGAR""",Lightweight Division,Male,16.0,7.0,0.0,False,38.0,69.0,156.0,"DEC. 13, 2008",False,,,,1.0,1.0,0.0,,,,0.31,0.18,1.38,2.84,1.31,1.6,0.61,0.54,,,NO,,70.0,,Southpaw,"Nov 29, 1984"
KYLE NELSON,"""THE MONSTER""",Featherweight Division,Male,16.0,6.0,1.0,True,33.0,71.0,148.5,"DEC. 8, 2018",False,299.0,47.0,3.0,6.0,6.0,4.0,190.0,94.0,65.0,0.46,0.21,3.51,4.72,1.06,0.6,0.52,0.73,0.0,596.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-09/NELSON_KYLE_L_3-30.png?itok=ar1URRhx,JIU-JITSU,71.0,41.0,Switch,"Apr 20, 1991"
ANTONIO BRAGA NETO,,Middleweight Division,Male,9.0,3.0,0.0,False,35.0,75.0,185.8,"JUN. 8, 2013",False,25.0,3.0,12.0,1.0,1.0,7.0,30.0,6.0,4.0,0.33,0.38,1.36,3.92,3.07,0.51,0.45,0.0,0.0,586.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/67382/profile-galery/fullbodyleft-picture/Antonio-Braga-Neto_309271_LeftFullBodyImage.png?VersionId=iv2g5hwXuXZYiDMHqbF6qQMOE9puskfo&itok=9xxrPHKp,,77.0,43.0,Orthodox,"Oct 29, 1987"
MARIO NETO,"""SUKATA""",Heavyweight Division,Male,13.0,5.0,0.0,False,,73.0,236.0,"SEP. 23, 2006",False,5.0,4.0,1.0,0.0,0.0,0.0,4.0,0.0,6.0,0.5,1.0,1.89,1.89,2.84,0.0,0.71,0.0,0.0,317.0,NO,,,,Orthodox,
EDUARDO NEVES,,Heavyweight Division,Male,7.0,2.0,0.0,True,23.0,74.0,265.0,"DEC. 20, 2024",False,33.0,3.0,4.0,0.0,0.0,0.0,30.0,6.0,4.0,0.66,0.67,7.69,6.15,5.77,0.0,0.56,0.0,0.0,156.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-08/NEVES_EDUARDO_R.png?itok=WZcNNCfd,,78.0,,Orthodox,"Mar 16, 2000"
NICK NEWELL,,Lightweight Division,Male,14.0,2.0,0.0,True,37.0,70.0,155.3,"DEC. 20, 2024",False,52.0,1.0,0.0,0.0,0.0,0.0,37.0,7.0,9.0,0.46,0.0,3.53,4.07,0.0,0.0,0.36,0.33,0.0,900.0,NO,,,,Southpaw,"Mar 17, 1986"
JOURNEY NEWSON,,Bantamweight Division,Male,10.0,5.0,0.0,True,34.0,65.0,135.5,"JUN. 29, 2019",False,128.0,4.0,9.0,3.0,4.0,3.0,55.0,41.0,45.0,0.33,0.17,2.64,2.57,0.56,0.3,0.65,0.44,0.28,534.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-06/NEWSON_JOURNEY_L_05-07.png?itok=7olM43z9,BRAZILIAN JIU-JITSU,67.5,35.0,Orthodox,"Mar 07, 1989"
JEFF NEWTON,"""THE KARATE KID""",Light Heavyweight Division,Male,4.0,2.0,0.0,False,56.0,74.0,205.0,"NOV. 19, 2005",False,,,,0.0,0.0,0.0,,,,0.2,0.0,0.28,1.41,0.0,8.5,0.52,0.0,,,NO,,,,Sideways,"Dec 11, 1966"
CARLOS NEWTON,"""THE RONIN""",Welterweight Division,Male,16.0,14.0,0.0,False,46.0,69.0,175.0,"MAY. 15, 1998",False,,,,0.0,3.0,5.0,,,,0.41,0.7,0.65,1.55,2.47,0.9,0.44,0.43,,,NO,,,,Orthodox,"Aug 17, 1976"
FRANCIS NGANNOU,"""THE PREDATOR""",Heavyweight Division,Male,17.0,3.0,0.0,False,36.0,76.0,257.0,"DEC. 19, 2015",False,150.0,36.0,43.0,12.0,1.0,4.0,156.0,41.0,32.0,0.41,0.63,2.33,2.16,0.76,0.31,0.42,0.72,1.22,421.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-01/NGANNOU_FRANCIS_L_03-27.png?itok=s4MVBS7x,STRIKER,83.0,44.5,Orthodox,"Sep 05, 1986"
BEN NGUYEN,"""10""",Flyweight Division,Male,17.0,8.0,0.0,False,34.0,65.0,125.5,"MAY. 9, 2015",False,164.0,31.0,15.0,9.0,3.0,5.0,145.0,40.0,25.0,0.4,0.33,3.51,3.01,0.25,1.0,0.59,0.63,0.75,512.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Ben_Nguyen/NGUYEN_BEN_L.png?itok=CrQPN3ZA,,65.0,39.0,Switch,"Aug 03, 1988"
STEVEN NGUYEN,"""THE NINJA""",Featherweight Division,Male,9.0,2.0,0.0,True,30.0,71.0,145.0,"MAR. 23, 2024",False,374.0,3.0,7.0,4.0,2.0,3.0,318.0,33.0,33.0,0.4,1.0,7.15,7.36,0.28,0.0,0.61,0.85,0.28,806.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-04/NGUYEN_STEVEN_L_03-23.png?itok=-qfx6yve,MMA,73.0,40.0,Switch,"May 19, 1993"
ALEX NICHOLSON,"""THE SPARTAN""",Middleweight Division,Male,7.0,4.0,0.0,False,33.0,76.0,185.0,"FEB. 7, 2016",False,109.0,5.0,3.0,6.0,0.0,1.0,67.0,23.0,27.0,0.44,0.0,4.12,4.65,0.0,0.53,0.47,0.5,0.53,426.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2021-08/alex-nicholson_575996_LeftFullBodyImage.png?itok=r2Yzemq9,,81.0,,Orthodox,"May 02, 1990"
BO NICKAL,,Middleweight Division,Male,7.0,0.0,0.0,True,28.0,73.0,185.4,"MAR. 4, 2023",False,64.0,1.0,12.0,2.0,1.0,4.0,44.0,16.0,17.0,0.63,0.5,2.65,1.86,3.61,3.61,0.65,0.0,0.52,291.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-11/NICKAL_BO_L_11-16.png?itok=Ny0jQ60x,WRESTLER,76.0,42.0,Southpaw,"Jan 14, 1996"
MIKE NICKELS,,Light Heavyweight Division,Male,9.0,5.0,0.0,False,51.0,76.0,206.0,"JUN. 24, 2006",False,,,,0.0,0.0,1.0,,,,0.52,0.8,4.44,1.11,11.11,2.8,0.64,0.0,,,NO,,,,Orthodox,"Dec 13, 1971"
MATHEUS NICOLAU,,Flyweight Division,Male,19.0,6.0,1.0,False,31.0,66.0,125.5,"NOV. 7, 2015",False,354.0,4.0,50.0,5.0,9.0,5.0,214.0,137.0,57.0,0.52,0.43,3.31,2.98,1.22,0.85,0.66,0.9,0.97,673.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-10/16/NICOLAU_MATHEUS_L_10-19.png?itok=EuxC7X3A,BOXING,66.0,38.0,Orthodox,"Jan 06, 1993"
STEWART NICOLL,"""KAKAMORA""",Flyweight Division,Male,8.0,1.0,0.0,True,29.0,65.0,126.0,"AUG. 17, 2024",False,2.0,0.0,6.0,4.0,1.0,3.0,4.0,2.0,2.0,0.47,1.0,3.02,1.13,5.66,0.0,0.4,0.0,0.0,159.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/NICOLL_STEWART_L_08-17.png?itok=0RUJMtxb,GRAPPLER,65.5,37.0,Orthodox,"Nov 04, 1994"
JAIMEE NIEVERA,"""QUEENIE""",Women's Flyweight Division,Female,7.0,4.0,0.0,False,38.0,65.0,126.0,"DEC. 20, 2024",False,11.0,3.0,0.0,0.0,0.0,0.0,5.0,4.0,5.0,0.54,0.17,1.67,8.73,1.79,0.0,0.34,0.0,0.0,502.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Fighter_fullLength_Shadow-woman-blue.png?VersionId=SaZSiHq6Es28JDi9_jfSTmRNG4l_XkBS&itok=DWjj5ONS,,,,Orthodox,"Oct 28, 1984"
TOM NIINIMAKI,"""STONEFACE""",Featherweight Division,Male,22.0,8.0,1.0,False,41.0,69.0,146.0,"DEC. 1, 2013",False,39.0,5.0,14.0,7.0,6.0,8.0,19.0,17.0,22.0,0.55,0.46,1.91,2.31,2.97,0.5,0.58,0.33,0.0,455.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Tom_Niinimaki/Tom-Niinimaki-2013-11-27-047.png?VersionId=sAyaZ2siBGlMgK_OQdU4bzMJc9YLpSY6&itok=Cvp6BCFD,,69.0,,Orthodox,"Jul 25, 1982"
RAMSEY NIJEM,,Lightweight Division,Male,10.0,6.0,0.0,False,35.0,71.0,156.0,"JUN. 5, 2011",False,,,,2.0,3.0,0.0,,,,0.44,0.62,3.05,1.62,5.32,1.1,0.62,0.55,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/7e4e3757-374a-46d1-93f1-0556771ebb9c%252FRamsey-Nijem_144964_LeftFullBodyImage.png?itok=A6UL4_h6,,75.0,,Orthodox,"Apr 01, 1988"
MATS NILSSON,,Welterweight Division,Male,11.0,4.0,1.0,False,39.0,73.0,171.0,"MAR. 8, 2014",False,51.0,6.0,1.0,2.0,4.0,5.0,34.0,9.0,15.0,0.39,0.83,2.99,5.62,3.87,2.32,0.64,0.44,0.0,582.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68752/profile-galery/fullbodyleft-picture/Mats-Nilsson_466134_LeftFullBodyImage.png?VersionId=zIwQoooDVNbe66PEBvEQGgheLG1JSz0R&itok=x6Rl_tMI,,74.0,,Orthodox,"Dec 05, 1983"
JACK NILSSON,,Lightweight Division,Male,11.0,4.0,1.0,False,,73.0,170.0,"MAY. 30, 1997",False,,,,0.0,0.0,0.0,,,,0.39,0.83,2.99,5.62,3.87,2.3,0.63,0.44,,,NO,,,,Orthodox,"Dec 05, 1983"
YAMATO NISHIKAWA,,Lightweight Division,Male,21.0,3.0,6.0,False,20.0,67.0,155.0,"OCT. 22, 2022",False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,NO,,,,Orthodox,"Dec 06, 2002"
CHIDI NJOKUANI,"""BANG BANG""",Welterweight Division,Male,24.0,10.0,0.0,True,35.0,75.0,170.0,"FEB. 5, 2022",False,197.0,144.0,60.0,14.0,9.0,1.0,164.0,165.0,72.0,0.64,0.0,4.59,2.67,0.0,0.2,0.56,0.74,0.52,582.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2023-08/NJOKUANI_CHIDI_L.png?itok=qrXqI-dZ,MMA,80.0,45.0,Orthodox,"Dec 31, 1988"
ANTHONY NJOKUANI,"""THE ASSASSIN""",Lightweight Division,Male,16.0,12.0,0.0,False,43.0,73.0,155.0,"MAR. 20, 2011",False,,,,5.0,2.0,0.0,,,,0.46,0.45,3.94,2.41,0.5,0.2,0.65,0.53,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/f9c60486-80de-4ebb-a65f-8250899d2172%252FAnthony-Njokuani_1008_LeftFullBodyImage.png?itok=NAOGgfey,,75.0,,Orthodox,"Mar 01, 1980"
DERRICK NOBLE,"""THE ERASER""",Welterweight Division,Male,27.0,15.0,1.0,False,44.0,69.0,170.0,"APR. 15, 2006",False,,,,0.0,0.0,0.0,,,,0.4,0.0,6.21,3.79,0.0,0.0,0.59,0.0,,,NO,,,,Southpaw,"Aug 14, 1978"
KYLE NOBLITT,,Heavyweight Division,Male,11.0,2.0,0.0,True,33.0,74.0,243.0,"DEC. 20, 2024",False,,,,0.0,0.0,0.0,,,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,,NO,,,,,"Dec 26, 1989"
PEDRO NOBRE,,Bantamweight Division,Male,18.0,4.0,2.0,False,37.0,65.0,136.0,"JAN. 20, 2013",False,3.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,0.3,0.0,1.37,9.16,0.0,0.0,0.35,0.0,0.0,131.0,NO,,,,,"Feb 13, 1986"
ANTONIO ROGERIO NOGUEIRA,,Light Heavyweight Division,Male,23.0,10.0,0.0,False,47.0,74.0,206.0,"NOV. 21, 2009",False,,,,8.0,7.0,4.0,,,,0.35,0.44,2.43,2.34,0.64,0.8,0.59,0.62,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Antonio_Nogueira/NOGUEIRA_ROGERIO_L.png?VersionId=.wKSIpSNa6AbyOzgWnj_xK7aZnjP24vl&itok=d2RQAWmg,,75.0,43.0,Southpaw,"Jun 02, 1976"
ALEXANDRE NOGUEIRA,"""PEQUENO""",Bantamweight Division,Male,34.0,10.0,2.0,False,45.0,75.0,240.0,"DEC. 20, 2024",False,,,,3.0,7.0,13.0,,,,0.42,0.29,1.95,2.4,1.3,2.4,0.55,0.36,,,NO,,77.0,,Orthodox,"Jun 02, 1976"
MINOTAURO NOGUEIRA,,Heavyweight Division,Male,34.0,10.0,1.0,False,47.0,75.0,240.0,"JUL. 7, 2007",False,,,,3.0,7.0,13.0,,,,0.42,0.29,1.95,2.4,1.3,2.4,0.55,0.36,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/fighter_images/Antonio_Rodrigo_Nogueira/NOGUIERA_MINOTAURO_R.png?VersionId=YNPNRUEk6HX581_by.3q35b4Fg5zEOmO&itok=xx-uL52g,,77.0,,Orthodox,"Jun 02, 1976"
KYLE NOKE,,Welterweight Division,Male,22.0,10.0,1.0,False,43.0,74.0,170.0,"JUN. 19, 2010",False,,,,4.0,1.0,2.0,,,,0.5,0.54,3.23,2.09,1.53,0.8,0.64,0.66,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/68531/profile-galery/fullbodyleft-picture/Kyle-Noke_1181_LeftFullBodyImage.png?VersionId=dUDcVtLShDLOf_HxsZeIPkOdV87EovoF&itok=kFlWzpxH,,76.0,44.0,Southpaw,"Mar 18, 1980"
TOM NOLAN,"""BIG TRAIN """,Lightweight Division,Male,8.0,1.0,0.0,True,24.0,75.0,155.5,"JAN. 13, 2024",False,107.0,27.0,8.0,5.0,2.0,0.0,66.0,55.0,21.0,0.5,0.0,6.68,5.17,0.0,0.71,0.48,0.67,1.41,319.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2024-08/NOLAN_TOM_L_08-17.png?itok=Z_FHETvn,,73.0,43.0,Southpaw,"Mar 08, 2000"
KJ NOONS,,Lightweight Division,Male,13.0,9.0,0.0,False,40.0,70.0,156.0,"MAR. 4, 2012",False,652.0,44.0,19.0,9.0,4.0,0.0,410.0,222.0,83.0,0.35,0.2,3.68,3.78,0.08,0.0,0.65,0.69,0.39,648.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/32936dfb-068b-4fdc-a3eb-4e5c0c75faae%252FKJ-Noons_241941_LeftFullBodyImage.png?itok=MjWhnn6i,,72.0,39.0,Orthodox,"Dec 07, 1982"
SAGE NORTHCUTT,"""SUPER""",Welterweight Division,Male,11.0,2.0,0.0,False,27.0,72.0,170.0,"OCT. 3, 2015",False,162.0,51.0,54.0,4.0,3.0,3.0,173.0,52.0,42.0,0.52,0.35,3.58,1.96,1.81,0.6,0.59,0.42,0.4,560.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/image/ufc-fighter-container/69188/profile-galery/fullbodyleft-picture/sage-northcutt_545279_LeftFullBodyImage.png?itok=V6Jr_gkH,,71.5,40.5,Orthodox,"Mar 01, 1996"
SHOHEI NOSE,,Bantamweight Division,Male,12.0,5.0,2.0,False,25.0,66.0,136.0,"JUN. 10, 2022",False,35.0,9.0,2.0,1.0,0.0,0.0,27.0,8.0,11.0,0.4,0.17,2.48,3.61,3.23,4.85,0.53,0.14,0.0,371.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-06/7ead9139-185d-4af2-bfed-d6e99b50a136%252FNOSE_SHOHEI_L.png?itok=xsOb_ur9,,68.0,,Switch,"Oct 19, 1997"
JASON NOVELLI,"""PEPSI""",Lightweight Division,Male,11.0,3.0,1.0,False,44.0,72.0,156.0,"AUG. 7, 2016",False,34.0,1.0,2.0,3.0,2.0,6.0,19.0,5.0,13.0,0.24,0.33,1.73,3.55,0.7,0.0,0.67,1.0,0.0,643.0,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/b71621f4-fb8c-41e9-97ed-f65db459db5f%252FJason-Novelli_596662_LeftFullBodyImage.png?itok=UFRYs67Y,,75.0,42.0,Orthodox,"Jun 08, 1979"
PHILLIPE NOVER,"""THE FILIPINO ASSASSIN""",Featherweight Division,Male,12.0,8.0,1.0,False,39.0,69.0,145.6,"DEC. 13, 2008",False,,,,0.0,1.0,0.0,,,,0.35,0.28,1.79,2.48,0.99,0.7,0.56,0.44,,,https://ufc.com/images/styles/athlete_bio_full_body/s3/2022-03/3c5eebd6-50ba-4e7c-a545-5e1e48187bba%252FPhillipe-Nover_1002_LeftFullBodyImage.png?itok=SXVOLdED,,72.0,39.0,Orthodox,"Feb 03, 1984"
