combattant_1,combattant_2,resultat,methode
Anthony Pettis,Nate Diaz,1,DEC
Paulo Costa,Yoel Romero,0,DEC
Gabriel Benitez,Sodiq Yusuff,1,KO/TKO
Derek Brunson,Ian Heinisch,0,DEC
Devonte Smith,Khama Worthy,1,KO/TKO
Cory Sandhagen,Raphael Assuncao,0,DEC
Christos Giagos,Drakkar Klose,1,DEC
Casey Kenney,Manny Bermudez,0,DEC
Jodie Esquibel,Hannah Cifers,1,DEC
Kyung Ho Kang,Brandon Davis,0,DEC
Shana Dobson,Sabina Mazo,1,DEC
Valentina Shevchenko,Liz Carmouche,0,DEC
Mike Perry,Vicente Luque,1,DEC
Eduardo Garagorri,Humberto Bandenay,0,DEC
Ilir Latifi,Volkan Oezdemir,1,KO/TKO
Rodolfo Vieira,Oskar Piechota,0,SUB
Bobby Moffett,Enrique Barzola,1,DEC
Gilbert Burns,Aleksei Kunchenko,0,DEC
Raphael Pessoa,Ciryl Gane,1,SUB
Marina Rodriguez,Tecia Pennington,0,DEC
Raulian Paiva,Rogerio Bontorin,1,KO/TKO
Chris Gutierrez,Geraldo de Freitas,0,DEC
Kazula Vargas,Alex Da Silva,1,DEC
Veronica Hardy,Polyana Viana,0,SUB
Colby Covington,Robbie Lawler,0,DEC
Clay Guida,Jim Miller,1,SUB
Nasrat Haqparast,Joaquim Silva,0,KO/TKO
Trevin Giles,Gerald Meerschaert,1,SUB
Scott Holtzman,Dong Hyun Ma,0,KO/TKO
Darko Stosic,Kennedy Nzechukwu,1,DEC
Mickey Gall,Salim Touahri,0,DEC
Lucie Pudilova,Antonina Shevchenko,1,SUB
Matt Schnell,Jordan Espinosa,0,SUB
Mara Romero Borella,Lauren Murphy,1,KO/TKO
Claudio Silva,Cole Williams,0,SUB
Hannah Goldy,Miranda Granger,1,DEC
Max Holloway,Frankie Edgar,0,DEC
Felicia Spencer,Cristiane Justino,1,DEC
Geoff Neal,Niko Price,0,KO/TKO
Olivier Aubin-Mercier,Arman Tsarukyan,1,DEC
Krzysztof Jotko,Marc-Andre Barriault,0,DEC
Alexis Davis,Viviane Araujo,1,DEC
Hakeem Dawodu,Yoshinori Horie,0,KO/TKO
SeungWoo Choi,Gavin Tucker,1,SUB
Deiveson Figueiredo,Alexandre Pantoja,0,DEC
Sarah Frota,Gillian Robertson,1,KO/TKO
Erik Koch,Kyle Stewart,0,DEC
Leon Edwards,Rafael Dos Anjos,0,DEC
Aleksei Oleinik,Walt Harris,1,KO/TKO
Greg Hardy,Juan Adams,0,KO/TKO
James Vick,Dan Hooker,1,KO/TKO
Alexander Hernandez,Francisco Trinaldo,0,DEC
Ben Rothwell,Andrei Arlovski,1,DEC
Alex Caceres,Steven Peterson,0,DEC
Irene Aldana,Raquel Pennington,1,DEC
Klidson Abreu,Sam Alvey,0,DEC
Roxanne Modafferi,Jennifer Maia,1,DEC
Ray Borg,Gabriel Silva,0,DEC
Jin Soo Son,Mario Bautista,1,DEC
Felipe Colares,Domingo Pilarte,0,DEC
Germaine de Randamie,Aspen Ladd,0,KO/TKO
Ricky Simon,Urijah Faber,1,KO/TKO
Josh Emmett,Mirsad Bektic,0,KO/TKO
Wellington Turman,Karl Roberson,1,DEC
Marvin Vettori,Cezar Ferreira,0,DEC
John Allan,Mike Rodriguez,1,Overturned
Andre Fili,Sheymon Moraes,0,KO/TKO
Nicco Montano,Julianna Pena,1,DEC
Ryan Hall,Darren Elkins,0,DEC
Pingyuan Liu,Jonathan Martinez,1,KO/TKO
Brianna Fortino,Livinha Souza,0,DEC
Vince Morales,Benito Lopez,1,DEC
Jon Jones,Thiago Santos,0,DEC
Holly Holm,Amanda Nunes,1,KO/TKO
Jorge Masvidal,Ben Askren,0,KO/TKO
Luke Rockhold,Jan Blachowicz,1,KO/TKO
Michael Chiesa,Diego Sanchez,0,DEC
Gilbert Melendez,Arnold Allen,1,DEC
Marlon Vera,Nohelin Hernandez,0,SUB
Randa Markos,Claudia Gadelha,1,DEC
Song Yadong,Alejandro Perez,0,KO/TKO
Jack Marshman,Edmen Shahbazyan,1,SUB
Chance Rencountre,Ismail Naurdiev,0,DEC
Pannie Kianzad,Julia Avila,1,DEC
Francis Ngannou,Junior Dos Santos,0,KO/TKO
Jussier Formiga,Joseph Benavidez,1,KO/TKO
Demian Maia,Anthony Rocco Martin,0,M-DEC
Roosevelt Roberts,Vinc Pichel,1,DEC
Drew Dober,Marco Polo Reyes,0,KO/TKO
Paul Craig,Alonzo Menifield,1,KO/TKO
Ricardo Ramos,Journey Newson,0,DEC
Vinicius Moreira,Eryk Anders,1,KO/TKO
Jared Gordon,Dan Moret,0,DEC
Dequan Townsend,Dalcha Lungiambula,1,KO/TKO
Amanda Ribas,Emily Whitmire,0,SUB
Junior Albini,Maurice Greene,1,KO/TKO
Chan Sung Jung,Renato Moicano,0,KO/TKO
Bryan Barberena,Randy Brown,1,KO/TKO
Andre Ewell,Anderson Dos Santos,0,DEC
Montana De La Rosa,Andrea Lee,1,DEC
Kevin Holland,Alessio Di Chirico,0,DEC
Kevin Aguilar,Dan Ige,1,DEC
Ashley Yoder,Syuri Kondo,0,DEC
Matt Wiman,Luis Pena,1,KO/TKO
Jairzinho Rozenstruik,Allen Crowder,0,KO/TKO
Ariane da Silva,Molly McCann,1,DEC
Deron Winn,Eric Spicely,0,DEC
Henry Cejudo,Marlon Moraes,0,KO/TKO
Jessica Eye,Valentina Shevchenko,1,KO/TKO
Tony Ferguson,Donald Cerrone,0,KO/TKO
Jimmie Rivera,Petr Yan,1,DEC
Blagoy Ivanov,Tai Tuivasa,0,DEC
Nina Nunes,Tatiana Suarez,1,DEC
Aljamain Sterling,Pedro Munhoz,0,DEC
Karolina Kowalkiewicz,Alexa Grasso,1,DEC
Calvin Kattar,Ricardo Lamas,0,KO/TKO
Angela Hill,Yan Xiaonan,1,DEC
Darren Stewart,Bevon Lewis,0,DEC
Grigory Popov,Eddie Wineland,1,KO/TKO
Katlyn Cerminara,Joanne Wood,0,DEC
Anthony Smith,Alexander Gustafsson,0,SUB
Jimi Manuwa,Aleksandar Rakic,1,KO/TKO
Makwan Amirkhani,Chris Fishgold,0,SUB
Damir Hadzovic,Christos Giagos,1,DEC
Daniel Teymur,Sung Bin Jo,0,DEC
Rostem Akman,Sergey Khandozhko,1,DEC
Lina Lansberg,Tonya Evinger,0,DEC
Stevie Ray,Leonardo Santos,1,KO/TKO
Frank Camacho,Nick Hein,0,KO/TKO
Duda Santana,Bea Malecki,1,SUB
Devin Clark,Darko Stosic,0,DEC
Danilo Belluardo,Joel Alvarez,1,KO/TKO
Rafael Dos Anjos,Kevin Lee,0,SUB
Antonio Carlos Junior,Ian Heinisch,1,DEC
Felicia Spencer,Megan Anderson,0,SUB
Derrick Krantz,Vicente Luque,1,KO/TKO
Charles Oliveira,Nik Lentz,0,KO/TKO
Austin Hubbard,Davi Ramos,1,DEC
Aspen Ladd,Sijara Eubanks,0,DEC
Charles Jourdain,Desmond Green,1,DEC
Michel Pereira,Danny Roberts,0,KO/TKO
Michael Trizano,Grant Dawson,1,SUB
Ed Herman,Patrick Cummins,0,KO/TKO
Trevin Giles,Zak Cummings,1,SUB
Julio Arce,Julian Erosa,0,KO/TKO
Jessica Andrade,Rose Namajunas,0,KO/TKO
Anderson Silva,Jared Cannonier,1,KO/TKO
Alexander Volkanovski,Jose Aldo,0,DEC
Thiago Alves,Laureano Staropoli,1,DEC
Irene Aldana,Bethe Correia,0,SUB
Rogerio Nogueira,Ryan Spann,1,KO/TKO
Thiago Moises,Kurt Holobaugh,0,DEC
Sergio Moraes,Warlley Alves,1,KO/TKO
Clay Guida,BJ Penn,0,DEC
Priscila Cachoeira,Luana Carolina,1,DEC
Raoni Barcelos,Carlos Huachin,0,KO/TKO
Talita Bernardo,Viviane Araujo,1,KO/TKO
Donald Cerrone,Al Iaquinta,0,DEC
Elias Theodorou,Derek Brunson,1,DEC
Shane Burgos,Cub Swanson,0,DEC
Brad Katona,Merab Dvalishvili,1,DEC
Walt Harris,Serghei Spivac,0,KO/TKO
Marc-Andre Barriault,Andrew Sanchez,1,DEC
Macy Chiasson,Sarah Moras,0,KO/TKO
Aiemann Zahabi,Vince Morales,1,DEC
Nordine Taleb,Kyle Prepolec,0,DEC
Kyle Nelson,Matt Sayles,1,SUB
Arjan Bhullar,Juan Adams,0,DEC
Mitch Gagnon,Cole Smith,1,DEC
Jack Hermansson,Jacare Souza,0,DEC
Dmitrii Smoliakov,Greg Hardy,1,KO/TKO
Mike Perry,Alex Oliveira,0,DEC
Ion Cutelaba,Glover Teixeira,1,SUB
Cory Sandhagen,John Lineker,0,DEC
Thomas Gifford,Roosevelt Roberts,1,DEC
Takashi Sato,Ben Saunders,0,KO/TKO
Andrei Arlovski,Augusto Sakai,1,DEC
Carla Esparza,Virna Jandiroba,0,DEC
Mike Davis,Gilbert Burns,1,SUB
Jim Miller,Jason Gonzalez,0,SUB
Jodie Esquibel,Angela Hill,1,DEC
Dhiego Lima,Court McGee,0,DEC
Alistair Overeem,Aleksei Oleinik,0,KO/TKO
Arman Tsarukyan,Islam Makhachev,1,DEC
Sergei Pavlovich,Marcelo Golm,0,KO/TKO
Antonina Shevchenko,Roxanne Modafferi,1,DEC
Krzysztof Jotko,Alen Amedovski,0,DEC
SeungWoo Choi,Movsar Evloev,1,DEC
Sultan Aliev,Keita Nakamura,0,DEC
Alex Da Silva,Alexander Yakovlev,1,SUB
Shamil Abdurakhimov,Marcin Tybura,0,KO/TKO
Gadzhimurad Antigulov,Michal Oleksiejczuk,1,KO/TKO
Magomed Mustafaev,Rafael Fiziev,0,KO/TKO
Dustin Poirier,Max Holloway,0,DEC
Kelvin Gastelum,Israel Adesanya,1,DEC
Khalil Rountree Jr.,Eryk Anders,0,DEC
Alan Jouban,Dwight Grant,1,DEC
Nikita Krylov,Ovince Saint Preux,0,SUB
Jalin Turner,Matt Frevola,1,DEC
Alexandre Pantoja,Wilson Reis,0,KO/TKO
Zelim Imadaev,Max Griffin,1,M-DEC
Khalid Taha,Boston Salmon,0,KO/TKO
Curtis Millender,Belal Muhammad,1,DEC
Montel Jackson,Andre Soukhamthath,0,DEC
Lauren Mueller,Poliana Botelho,1,DEC
Brandon Davis,Randy Costa,0,SUB
Justin Gaethje,Edson Barboza,0,KO/TKO
David Branch,Jack Hermansson,1,SUB
Josh Emmett,Michael Johnson,0,KO/TKO
Karolina Kowalkiewicz,Michelle Waterson-Gomez,1,DEC
Paul Craig,Kennedy Nzechukwu,0,SUB
Sheymon Moraes,Sodiq Yusuff,1,DEC
Marina Rodriguez,Jessica Aguilar,0,DEC
Ross Pearson,Desmond Green,1,KO/TKO
Kevin Aguilar,Enrique Barzola,0,DEC
Gerald Meerschaert,Kevin Holland,1,DEC
Casey Kenney,Ray Borg,0,DEC
Sabina Mazo,Maryna Moroz,1,DEC
Alex Perez,Mark De La Rosa,0,DEC
Anthony Pettis,Stephen Thompson,0,KO/TKO
Justin Willis,Curtis Blaydes,1,DEC
John Makdessi,Jesus Pinedo,0,DEC
Deiveson Figueiredo,Jussier Formiga,1,DEC
Luis Pena,Steven Peterson,0,DEC
JJ Aldrich,Maycee Barber,1,KO/TKO
Bryce Mitchell,Bobby Moffett,0,DEC
Frankie Saenz,Marlon Vera,1,KO/TKO
Jennifer Maia,Alexis Davis,0,DEC
Angela Hill,Randa Markos,1,SUB
Chris Gutierrez,Ryan MacDonald,0,DEC
Eric Shelton,Jordan Espinosa,1,DEC
Jorge Masvidal,Darren Till,0,KO/TKO
Gunnar Nelson,Leon Edwards,1,DEC
Dominick Reyes,Volkan Oezdemir,0,DEC
Jose Quinonez,Nathaniel Wood,1,SUB
Claudio Silva,Danny Roberts,0,SUB
John Phillips,Jack Marshman,1,DEC
Arnold Allen,Jordan Rinaldi,0,DEC
Joe Duffy,Marc Diakiese,1,DEC
Saparbeg Safarov,Nicolae Negumereanu,0,DEC
Danny Henry,Dan Ige,1,SUB
Molly McCann,Priscila Cachoeira,0,DEC
Nad Narimani,Mike Grundy,1,KO/TKO
Junior Dos Santos,Derrick Lewis,0,KO/TKO
Curtis Millender,Elizeu Zaleski dos Santos,1,SUB
Niko Price,Tim Means,0,KO/TKO
Ben Rothwell,Blagoy Ivanov,1,DEC
Beneil Dariush,Drew Dober,0,SUB
Tim Boetsch,Omari Akhmedov,1,DEC
Anthony Rocco Martin,Sergio Moraes,0,DEC
Marion Reneau,Yana Santos,1,DEC
Grant Dawson,Julian Erosa,0,DEC
Jeff Hughes,Maurice Greene,1,DEC
Matt Schnell,Louis Smolka,0,SUB
Zak Ottow,Alex Morono,1,KO/TKO
Alex White,Dan Moret,0,DEC
Jon Jones,Anthony Smith,0,DEC
Tyron Woodley,Kamaru Usman,1,DEC
Ben Askren,Robbie Lawler,0,SUB
Tecia Pennington,Zhang Weili,1,DEC
Pedro Munhoz,Cody Garbrandt,0,KO/TKO
Jeremy Stephens,Zabit Magomedsharipov,1,DEC
Johnny Walker,Misha Cirkunov,0,KO/TKO
Alejandro Perez,Cody Stamann,1,DEC
Diego Sanchez,Mickey Gall,0,KO/TKO
Charles Byrd,Edmen Shahbazyan,1,KO/TKO
Macy Chiasson,Gina Mazany,0,KO/TKO
Polyana Viana,Hannah Cifers,1,DEC
Thiago Santos,Jan Blachowicz,0,KO/TKO
Marcos Rogerio de Lima,Stefan Struve,1,SUB
Michal Oleksiejczuk,Gian Villante,0,KO/TKO
Lucie Pudilova,Liz Carmouche,1,DEC
Petr Yan,John Dodson,0,DEC
Klidson Abreu,Magomed Ankalaev,1,DEC
Dwight Grant,Carlo Pedersoli Jr.,0,KO/TKO
Daniel Teymur,Chris Fishgold,1,SUB
Gillian Robertson,Veronica Hardy,0,SUB
Marco Polo Reyes,Damir Hadzovic,1,KO/TKO
Ismail Naurdiev,Michel Prazeres,0,DEC
Rustam Khabilov,Diego Ferreira,1,DEC
Damir Ismagulov,Joel Alvarez,0,DEC
Francis Ngannou,Cain Velasquez,0,KO/TKO
James Vick,Paul Felder,1,DEC
Cynthia Calvillo,Cortney Casey,0,DEC
Alex Caceres,Kron Gracie,1,SUB
Vicente Luque,Bryan Barberena,0,KO/TKO
Myles Jury,Andre Fili,1,DEC
Aljamain Sterling,Jimmie Rivera,0,DEC
Benito Lopez,Manny Bermudez,1,SUB
Andrea Lee,Ashlee Evans-Smith,0,DEC
Scott Holtzman,Nik Lentz,1,DEC
Luke Sanders,Renan Barao,0,KO/TKO
Aleksandra Albu,Emily Whitmire,1,SUB
Israel Adesanya,Anderson Silva,0,DEC
Marcos Mariano,Lando Vannata,1,SUB
Ricky Simon,Rani Yahya,0,DEC
Nadia Kassem,Montana De La Rosa,1,SUB
Jimmy Crute,Sam Alvey,0,KO/TKO
Dong Hyun Ma,Devonte Smith,1,KO/TKO
Shane Young,Austin Arnett,0,DEC
Raulian Paiva,Kai Kara-France,1,DEC
Kyung Ho Kang,Teruto Ishihara,0,SUB
Callan Potter,Jalin Turner,1,KO/TKO
Jonathan Martinez,Wulijiburen,0,DEC
Marlon Moraes,Raphael Assuncao,0,SUB
Renato Moicano,Jose Aldo,1,KO/TKO
Demian Maia,Lyman Good,0,SUB
David Teymur,Charles Oliveira,1,SUB
Johnny Walker,Justin Ledet,0,KO/TKO
Sarah Frota,Livinha Souza,1,DEC
Markus Perez,Anthony Hernandez,0,SUB
Taila Santos,Mara Romero Borella,1,DEC
Thiago Alves,Max Griffin,0,DEC
Junior Albini,Jairzinho Rozenstruik,1,KO/TKO
Geraldo de Freitas,Felipe Colares,0,DEC
Ricardo Ramos,Said Nurmagomedov,1,KO/TKO
Rogerio Bontorin,Bibulatov Magomed,0,DEC
Henry Cejudo,TJ Dillashaw,0,KO/TKO
Greg Hardy,Allen Crowder,1,DQ
Gregor Gillespie,Yancy Medeiros,0,KO/TKO
Dustin Ortiz,Joseph Benavidez,1,DEC
Paige VanZant,Rachael Ostovich,0,SUB
Karl Roberson,Glover Teixeira,1,SUB
Donald Cerrone,Alexander Hernandez,0,KO/TKO
Ariane da Silva,Joanne Wood,1,DEC
Alonzo Menifield,Vinicius Moreira,0,KO/TKO
Mario Bautista,Cory Sandhagen,1,SUB
Dennis Bermudez,Te Edwards,0,DEC
Belal Muhammad,Geoff Neal,1,DEC
Chance Rencountre,Kyle Stewart,0,SUB
Jon Jones,Alexander Gustafsson,0,KO/TKO
Cristiane Justino,Amanda Nunes,1,KO/TKO
Michael Chiesa,Carlos Condit,0,SUB
Ilir Latifi,Corey Anderson,1,DEC
Alexander Volkanovski,Chad Mendes,0,KO/TKO
Walt Harris,Andrei Arlovski,1,Overturned
Megan Anderson,Cat Zingano,0,KO/TKO
Douglas Silva de Andrade,Petr Yan,1,KO/TKO
Ryan Hall,BJ Penn,0,SUB
Andre Ewell,Nathaniel Wood,1,SUB
Uriah Hall,Bevon Lewis,0,KO/TKO
Siyar Bahadurzada,Curtis Millender,1,DEC
Montel Jackson,Brian Kelleher,0,SUB
Al Iaquinta,Kevin Lee,0,DEC
Dan Hooker,Edson Barboza,1,KO/TKO
Rob Font,Sergio Pettis,0,DEC
Jim Miller,Charles Oliveira,1,SUB
Zak Ottow,Dwight Grant,0,DEC
King Green,Drakkar Klose,1,DEC
Joaquim Silva,Jared Gordon,0,KO/TKO
Gerald Meerschaert,Jack Hermansson,1,SUB
Zak Cummings,Trevor Smith,0,DEC
Jordan Griffin,Dan Ige,1,DEC
Mike Rodriguez,Adam Milstead,0,KO/TKO
Chris de la Rocha,Juan Adams,1,KO/TKO
Max Holloway,Brian Ortega,0,KO/TKO
Joanna Jedrzejczyk,Valentina Shevchenko,1,DEC
Gunnar Nelson,Alex Oliveira,0,SUB
Kyle Bochniak,Hakeem Dawodu,1,DEC
Thiago Santos,Jimi Manuwa,0,KO/TKO
Claudia Gadelha,Nina Nunes,1,DEC
Gilbert Burns,Olivier Aubin-Mercier,0,DEC
Katlyn Cerminara,Jessica Eye,1,DEC
Elias Theodorou,Eryk Anders,0,DEC
Matthew Lopez,Brad Katona,1,DEC
Dhiego Lima,Chad Laprise,0,KO/TKO
Kyle Nelson,Diego Ferreira,1,KO/TKO
Aleksandar Rakic,Devin Clark,0,KO/TKO
Junior Dos Santos,Tai Tuivasa,0,KO/TKO
Tyson Pedro,Mauricio Rua,1,KO/TKO
Justin Willis,Mark Hunt,0,DEC
Jake Matthews,Anthony Rocco Martin,1,SUB
Sodiq Yusuff,Suman Mokhtarian,0,KO/TKO
Paul Craig,Jimmy Crute,1,SUB
Aleksei Kunchenko,Yushin Okami,0,DEC
Ben Nguyen,Wilson Reis,1,DEC
Keita Nakamura,Salim Touahri,0,DEC
Elias Garcia,Kai Kara-France,1,DEC
Christos Giagos,Mizuto Hirota,0,DEC
Alex Gorgees,Damir Ismagulov,1,DEC
Kamaru Usman,Rafael Dos Anjos,0,DEC
Justin Frazier,Juan Espino,1,SUB
Macy Chiasson,Pannie Kianzad,0,SUB
Bryan Caraway,Pedro Munhoz,1,KO/TKO
Edmen Shahbazyan,Darren Stewart,0,DEC
Ji Yeon Kim,Antonina Shevchenko,1,DEC
Kevin Aguilar,Ricky Glenn,0,DEC
Alex Perez,Joseph Benavidez,1,KO/TKO
Maurice Greene,Michel Batista,0,SUB
Julija Stoliarenko,Leah Letson,1,DEC
Roosevelt Roberts,Darrell Horcher,0,SUB
Ricky Rainey,Tim Means,1,KO/TKO
Raoni Barcelos,Chris Gutierrez,0,SUB
Francis Ngannou,Curtis Blaydes,0,KO/TKO
Sergei Pavlovich,Alistair Overeem,1,KO/TKO
Song Yadong,Vince Morales,0,DEC
David Zawada,Li Jingliang,1,KO/TKO
Alex Morono,Song Kenan,0,DEC
Lauren Mueller,Wu Yanan,1,SUB
Rashad Coulter,Hu Yaozong,0,DEC
Jessica Aguilar,Zhang Weili,1,SUB
Pingyuan Liu,Martin Day,0,DEC
Syuri Kondo,Yan Xiaonan,1,DEC
Kevin Holland,John Phillips,0,SUB
Sumudaerji,Louis Smolka,1,SUB
Santiago Ponzinibbio,Neil Magny,0,KO/TKO
Darren Elkins,Ricardo Lamas,1,KO/TKO
Johnny Walker,Khalil Rountree Jr.,0,KO/TKO
Cezar Ferreira,Ian Heinisch,1,DEC
Marlon Vera,Guido Cannetti,0,SUB
Poliana Botelho,Cynthia Calvillo,1,SUB
Michel Prazeres,Bartosz Fabinski,0,SUB
Yuta Sasaki,Alexandre Pantoja,1,SUB
Austin Arnett,Humberto Bandenay,0,DEC
Hector Aldana,Laureano Staropoli,1,DEC
Jesus Pinedo,Devin Powell,0,DEC
Anderson Dos Santos,Nad Narimani,1,DEC
Yair Rodriguez,Chan Sung Jung,0,KO/TKO
Mike Perry,Donald Cerrone,1,SUB
Germaine de Randamie,Raquel Pennington,0,DEC
Thiago Moises,Beneil Dariush,1,DEC
Maycee Barber,Hannah Cifers,0,KO/TKO
Luis Pena,Michael Trizano,1,DEC
Ashley Yoder,Amanda Cooper,0,DEC
Bobby Moffett,Chas Skelly,1,Overturned
Davi Ramos,John Gunther,0,SUB
Julian Erosa,Devonte Smith,1,KO/TKO
Eric Shelton,Joseph Morales,0,DEC
Joby Sanchez,Mark De La Rosa,1,DEC
Daniel Cormier,Derrick Lewis,0,SUB
Chris Weidman,Jacare Souza,1,KO/TKO
Jared Cannonier,David Branch,0,KO/TKO
Jack Marshman,Karl Roberson,1,DEC
Israel Adesanya,Derek Brunson,0,KO/TKO
Jason Knight,Jordan Rinaldi,1,DEC
Sijara Eubanks,Roxanne Modafferi,0,DEC
Julio Arce,Sheymon Moraes,1,DEC
Lyman Good,Ben Saunders,0,KO/TKO
Lando Vannata,Matt Frevola,1,M-DEC
Shane Burgos,Kurt Holobaugh,0,SUB
Adam Wieczorek,Marcos Rogerio de Lima,1,DEC
Anthony Smith,Volkan Oezdemir,0,SUB
Artem Lobov,Michael Johnson,1,DEC
Misha Cirkunov,Patrick Cummins,0,SUB
Jonathan Martinez,Andre Soukhamthath,1,DEC
Gian Villante,Ed Herman,0,DEC
Alex Garcia,Court McGee,1,DEC
Sean Strickland,Nordine Taleb,0,KO/TKO
Thibault Gouti,Nasrat Haqparast,1,DEC
Calvin Kattar,Chris Fishgold,0,KO/TKO
Sarah Moras,Talita Bernardo,1,DEC
Don Madge,Te Edwards,0,KO/TKO
Marcelo Golm,Arjan Bhullar,1,DEC
Stevie Ray,Jessin Ayari,0,DEC
Khabib Nurmagomedov,Conor McGregor,0,SUB
Anthony Pettis,Tony Ferguson,1,KO/TKO
Dominick Reyes,Ovince Saint Preux,0,DEC
Alexander Volkov,Derrick Lewis,1,KO/TKO
Michelle Waterson-Gomez,Felice Herrig,0,DEC
Sergio Pettis,Jussier Formiga,1,DEC
Vicente Luque,Jalin Turner,0,KO/TKO
Tonya Evinger,Aspen Ladd,1,KO/TKO
Scott Holtzman,Alan Patrick,0,KO/TKO
Lina Lansberg,Yana Santos,1,DEC
Nik Lentz,Gray Maynard,0,KO/TKO
Ryan LaFlare,Anthony Rocco Martin,1,KO/TKO
Thiago Santos,Eryk Anders,0,KO/TKO
Carlo Pedersoli Jr.,Alex Oliveira,1,KO/TKO
Rogerio Nogueira,Sam Alvey,0,KO/TKO
Renan Barao,Andre Ewell,1,DEC
Randa Markos,Marina Rodriguez,0,M-DEC
Christos Giagos,Charles Oliveira,1,SUB
Francisco Trinaldo,Evan Dunham,0,KO/TKO
Luis Henrique,Ryan Spann,1,DEC
Augusto Sakai,Chase Sherman,0,KO/TKO
Ben Saunders,Sergio Moraes,1,SUB
Mayra Bueno Silva,Gillian Robertson,0,SUB
Hector Lombard,Thales Leites,1,DEC
Elizeu Zaleski dos Santos,Luigi Vendramini,0,KO/TKO
Alex Chambers,Livinha Souza,1,SUB
Aleksei Oleinik,Mark Hunt,0,SUB
Nikita Krylov,Jan Blachowicz,1,SUB
Shamil Abdurakhimov,Andrei Arlovski,0,DEC
Thiago Alves,Aleksei Kunchenko,1,DEC
Khalid Murtazaliev,CB Dollaway,0,KO/TKO
Jin Soo Son,Petr Yan,1,DEC
Rustam Khabilov,Kajan Johnson,0,DEC
Desmond Green,Mairbek Taisumov,1,DEC
Magomed Ankalaev,Marcin Prachnio,0,KO/TKO
Adam Yandiev,Jordan Johnson,1,SUB
Ramazan Emeev,Stefan Sekulic,0,DEC
Terrion Ware,Merab Dvalishvili,1,DEC
Tyron Woodley,Darren Till,0,SUB
Karolina Kowalkiewicz,Jessica Andrade,1,KO/TKO
Zabit Magomedsharipov,Brandon Davis,0,SUB
John Dodson,Jimmie Rivera,1,DEC
Abdul Razak Alhassan,Niko Price,0,KO/TKO
Carla Esparza,Tatiana Suarez,1,KO/TKO
Aljamain Sterling,Cody Stamann,0,SUB
Frank Camacho,Geoff Neal,1,KO/TKO
Darren Stewart,Charles Byrd,0,KO/TKO
Craig White,Diego Sanchez,1,DEC
Jim Miller,Alex White,0,SUB
Lucie Pudilova,Irene Aldana,1,DEC
Jarred Brooks,Robert Sanchez,0,DEC
Justin Gaethje,James Vick,0,KO/TKO
Andre Fili,Michael Johnson,1,DEC
Cortney Casey,Angela Hill,0,DEC
Jake Ellenberger,Bryan Barberena,1,KO/TKO
Deiveson Figueiredo,John Moraga,0,KO/TKO
Tim Williams,Eryk Anders,1,KO/TKO
James Krause,Warlley Alves,0,KO/TKO
Iuri Alcantara,Cory Sandhagen,1,KO/TKO
Andrew Sanchez,Markus Perez,0,DEC
George Sullivan,Mickey Gall,1,SUB
Joanne Wood,Kalindra Faria,0,SUB
Jon Tuck,Drew Dober,1,DEC
Rani Yahya,Luke Sanders,0,SUB
TJ Dillashaw,Cody Garbrandt,0,KO/TKO
Demetrious Johnson,Henry Cejudo,1,DEC
Renato Moicano,Cub Swanson,0,SUB
Polyana Viana,JJ Aldrich,1,DEC
Thiago Santos,Kevin Holland,0,DEC
Brett Johns,Pedro Munhoz,1,DEC
Ricky Simon,Montel Jackson,0,DEC
Kyung Ho Kang,Ricardo Ramos,1,DEC
Sheymon Moraes,Matt Sayles,0,DEC
Jose Torres,Alex Perez,1,KO/TKO
Zhang Weili,Danielle Taylor,0,DEC
Wulijiburen,Marlon Vera,1,KO/TKO
Dustin Poirier,Eddie Alvarez,0,KO/TKO
Jeremy Stephens,Jose Aldo,1,KO/TKO
Joanna Jedrzejczyk,Tecia Pennington,0,DEC
Olivier Aubin-Mercier,Alexander Hernandez,1,DEC
Jordan Mein,Alex Morono,0,DEC
Austin Arnett,Hakeem Dawodu,1,DEC
Islam Makhachev,Kajan Johnson,0,SUB
Gadzhimurad Antigulov,Ion Cutelaba,1,KO/TKO
John Makdessi,Ross Pearson,0,DEC
Alexis Davis,Katlyn Cerminara,1,DEC
Dustin Ortiz,Matheus Nicolau,0,KO/TKO
Randa Markos,Nina Nunes,1,DEC
Devin Powell,Alvaro Herrera Mendoza,0,KO/TKO
Anthony Smith,Mauricio Rua,0,KO/TKO
Glover Teixeira,Corey Anderson,1,DEC
Abu Azaitar,Vitor Miranda,0,DEC
Stefan Struve,Marcin Tybura,1,DEC
Danny Roberts,David Zawada,0,DEC
Marc Diakiese,Nasrat Haqparast,1,DEC
Damir Hadzovic,Nick Hein,0,DEC
Emil Meek,Bartosz Fabinski,1,DEC
Nad Narimani,Khalid Taha,0,DEC
Justin Ledet,Aleksandar Rakic,1,DEC
Manny Bermudez,Davey Grant,0,SUB
Jeremy Kimball,Darko Stosic,1,KO/TKO
Pingyuan Liu,Damian Stasiak,0,DEC
Junior Dos Santos,Blagoy Ivanov,0,DEC
Zak Ottow,Sage Northcutt,1,KO/TKO
Ricky Glenn,Dennis Bermudez,0,DEC
Randy Brown,Niko Price,1,KO/TKO
Chad Mendes,Myles Jury,0,KO/TKO
Marion Reneau,Cat Zingano,1,DEC
Alejandro Perez,Eddie Wineland,0,DEC
